,p,q,P,Q,aic,culc_time_in_minutes
29,1,1,2,1,6221.934987141501,0.48
47,2,1,2,1,6223.412373880898,0.55
35,1,2,2,1,6223.4462116049235,0.52
53,2,2,2,1,6225.4845503888855,0.7
27,1,1,1,1,6235.128039770423,0.22
33,1,2,1,1,6235.518294655584,0.22
25,1,1,0,1,6236.174644208677,0.18
45,2,1,1,1,6236.415757857093,0.23
43,2,1,0,1,6237.623183222456,0.2
31,1,2,0,1,6237.6838558713525,0.2
51,2,2,1,1,6238.230477813595,0.27
49,2,2,0,1,6240.720458114693,0.27
28,1,1,2,0,6241.903168376559,0.43
46,2,1,2,0,6243.348924465108,0.52
34,1,2,2,0,6243.50501869801,0.48
52,2,2,2,0,6245.938443708164,0.65
26,1,1,1,0,6257.666063340063,0.22
44,2,1,1,0,6259.2867800279055,0.22
32,1,2,1,0,6260.33818389189,0.18
50,2,2,1,0,6260.661086138978,0.28
17,0,2,2,1,6271.347043130738,0.5
41,2,0,2,1,6273.554246387535,0.42
11,0,1,2,1,6274.097891427826,0.43
23,1,0,2,1,6278.435837219065,0.45
15,0,2,1,1,6280.209108838123,0.2
39,2,0,1,1,6281.089657309976,0.15
9,0,1,1,1,6282.362106241775,0.22
21,1,0,1,1,6287.4602216575095,0.15
13,0,2,0,1,6288.043513812609,0.12
7,0,1,0,1,6288.426898416092,0.12
37,2,0,0,1,6289.194067471504,0.15
19,1,0,0,1,6291.782091034081,0.12
5,0,0,2,1,6292.582636782577,0.43
10,0,1,2,0,6292.9940583607695,0.27
16,0,2,2,0,6293.105130648097,0.37
40,2,0,2,0,6294.341744579169,0.33
22,1,0,2,0,6296.054601692636,0.38
3,0,0,1,1,6303.968387006138,0.07
1,0,0,0,1,6307.976021448098,0.12
14,0,2,1,0,6312.913547129216,0.12
8,0,1,1,0,6312.935811376773,0.08
4,0,0,2,0,6313.619212135154,0.13
38,2,0,1,0,6314.600217789099,0.15
20,1,0,1,0,6315.19082169171,0.1
2,0,0,1,0,6328.1880964656375,0.08
48,2,2,0,0,6344.015021350692,0.07
42,2,1,0,0,6344.512443148109,0.08
30,1,2,0,0,6344.907641176151,0.08
24,1,1,0,0,6345.136944468023,0.08
6,0,1,0,0,6390.362350002038,0.02
12,0,2,0,0,6391.7750855559225,0.0
36,2,0,0,0,6392.820517581685,0.0
18,1,0,0,0,6393.040658797844,0.0
0,0,0,0,0,6411.842455713038,0.02
